FIX:0,  DATE TIME:x013942,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013942,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013945,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013945,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013945,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013948,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013948,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013952,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013952,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013952,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013952,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013955,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013955,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013958,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013958,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013958,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014001,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014001,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014001,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014004,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014004,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014004,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014008,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014008,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014008,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014011,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014011,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014011,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014014,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014014,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014017,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014017,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014017,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014020,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014020,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014020,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014020,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014024,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014024,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014027,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014027,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014027,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014030,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014030,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014030,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014033,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014033,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014037,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014037,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014037,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
