ACC Interface 
------------------Testing GPS:
FIX:0,  DATE TIME:xx,  LAT;0.000000x;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
ACC Interface 
------------------Testing GPS:
FIX:0,  DATE TIME:x085208,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x085209,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x085209,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x085210,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x085212,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x085213,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x085214,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x085216,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x085216,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x085217,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x085218,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x085220,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x085221,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x085222,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x085224,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x085224,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x085225,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x085226,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x085227,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x085229,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x085230,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x085231,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x085231,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x085233,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x085234,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x085235,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x085237,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x085238,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x085239,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x085239,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x085241,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x085242,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
